t,Subj_0,Subj_1,Subj_2,Subj_3,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_12,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_26,Subj_27,Subj_28,Subj_29
0,88.1356,85.7143,88.8889,78.2609,82.4561,81.9672,88.0342,85.0877,88.6957,91.8919,79.3103,93.2773,94.5946,78.5714,95.614,81.4159,99.1525,86.9565,87.7193,92.7928,94.9153,85.3448,74.7899,91.2281,95.5357,99.1379,88.9831,89.8305,90.9836,97.4138
0.0204,87.2881,84.8739,88.8889,79.1304,82.4561,82.7869,88.0342,85.0877,88.6957,91.8919,79.3103,93.2773,94.5946,80.3571,95.614,81.4159,100,86.9565,87.7193,94.5946,94.9153,83.6207,73.9496,91.2281,95.5357,99.1379,89.8305,89.8305,90.9836,98.2759
0.0408,84.7458,85.7143,88.8889,79.1304,81.5789,83.6066,88.0342,85.0877,88.6957,90.991,79.3103,93.2773,94.5946,80.3571,95.614,81.4159,100,86.9565,87.7193,94.5946,94.9153,81.8966,73.9496,87.7193,95.5357,99.1379,90.678,90.678,90.9836,98.2759
0.0612,84.7458,85.7143,89.8148,79.1304,81.5789,85.2459,88.0342,85.0877,88.6957,90.991,79.3103,94.958,94.5946,79.4643,95.614,81.4159,100,86.9565,87.7193,94.5946,94.9153,81.8966,73.9496,85.0877,95.5357,99.1379,91.5254,90.678,90.9836,99.1379
0.0816,86.4407,85.7143,89.8148,79.1304,81.5789,85.2459,88.0342,84.2105,88.6957,90.991,78.4483,94.958,95.4955,79.4643,94.7368,82.3009,100,86.9565,88.5965,94.5946,94.9153,82.7586,73.9496,85.0877,95.5357,99.1379,91.5254,90.678,90.1639,99.1379
0.102,86.4407,85.7143,89.8148,79.1304,81.5789,85.2459,87.1795,84.2105,87.8261,90.991,76.7241,94.958,94.5946,79.4643,92.1053,83.1858,100,86.9565,88.5965,94.5946,94.9153,82.7586,73.9496,85.0877,95.5357,99.1379,91.5254,90.678,86.8852,99.1379
0.1224,86.4407,85.7143,89.8148,79.1304,81.5789,85.2459,87.1795,84.2105,87.8261,90.991,76.7241,94.958,94.5946,78.5714,92.1053,83.1858,100,86.9565,87.7193,94.5946,94.9153,81.8966,73.9496,85.0877,95.5357,99.1379,91.5254,90.678,86.8852,99.1379
0.1429,88.9831,86.5546,89.8148,79.1304,81.5789,85.2459,87.1795,84.2105,87.8261,90.991,76.7241,94.958,94.5946,77.6786,92.1053,83.1858,100,86.9565,86.8421,94.5946,94.9153,81.8966,73.9496,85.0877,95.5357,99.1379,91.5254,90.678,86.8852,99.1379
0.1633,88.9831,86.5546,89.8148,79.1304,81.5789,86.0656,88.0342,84.2105,87.8261,90.991,76.7241,94.958,94.5946,77.6786,92.9825,84.0708,100,86.9565,86.8421,93.6937,94.0678,81.8966,73.9496,85.9649,95.5357,99.1379,91.5254,90.678,86.8852,99.1379
0.1837,89.8305,87.395,89.8148,79.1304,81.5789,86.0656,86.3248,84.2105,87.8261,90.991,77.5862,94.958,93.6937,77.6786,92.9825,84.0708,100,86.9565,86.8421,93.6937,94.9153,81.8966,73.9496,85.9649,96.4286,99.1379,91.5254,90.678,86.8852,98.2759
0.2041,89.8305,89.0756,89.8148,79.1304,81.5789,86.0656,87.1795,84.2105,87.8261,90.991,76.7241,94.958,93.6937,77.6786,92.9825,84.0708,100,86.9565,86.8421,93.6937,94.9153,81.8966,73.9496,85.9649,96.4286,99.1379,92.3729,89.8305,86.8852,98.2759
0.2245,89.8305,89.916,90.7407,78.2609,82.4561,86.0656,85.4701,83.3333,88.6957,90.991,77.5862,94.958,93.6937,77.6786,91.2281,83.1858,100,86.9565,86.8421,93.6937,94.9153,81.8966,73.9496,85.0877,95.5357,99.1379,92.3729,89.8305,86.8852,98.2759
0.2449,88.9831,89.916,90.7407,78.2609,82.4561,86.0656,85.4701,83.3333,87.8261,90.0901,77.5862,94.958,93.6937,77.6786,88.5965,83.1858,100,86.9565,86.8421,93.6937,94.0678,81.8966,73.9496,85.9649,95.5357,99.1379,93.2203,89.8305,86.8852,98.2759
0.2653,88.1356,89.916,90.7407,78.2609,83.3333,85.2459,84.6154,83.3333,87.8261,89.1892,77.5862,94.958,92.7928,77.6786,88.5965,83.1858,100,86.9565,86.8421,93.6937,94.0678,81.0345,73.9496,85.9649,95.5357,99.1379,93.2203,89.8305,86.0656,98.2759
0.2857,88.1356,89.916,90.7407,78.2609,83.3333,85.2459,84.6154,83.3333,87.8261,89.1892,76.7241,94.958,91.8919,75.8929,86.8421,83.1858,100,86.9565,86.8421,92.7928,93.2203,81.0345,73.9496,85.9649,94.6429,98.2759,93.2203,89.8305,86.8852,98.2759
0.3061,88.1356,89.916,90.7407,78.2609,83.3333,85.2459,84.6154,82.4561,87.8261,89.1892,75.8621,95.7983,92.7928,75.8929,85.9649,83.1858,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,85.9649,94.6429,98.2759,94.0678,89.8305,86.8852,98.2759
0.3265,87.2881,89.916,90.7407,78.2609,83.3333,85.2459,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,92.7928,75.8929,85.9649,82.3009,100,86.9565,86.8421,92.7928,94.0678,81.0345,74.7899,85.9649,94.6429,98.2759,93.2203,89.8305,87.7049,98.2759
0.3469,87.2881,90.7563,90.7407,78.2609,83.3333,85.2459,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,92.7928,75.8929,85.9649,82.3009,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,85.9649,93.75,98.2759,93.2203,89.8305,87.7049,98.2759
0.3673,88.1356,90.7563,90.7407,78.2609,83.3333,85.2459,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,91.8919,75.8929,85.9649,82.3009,100,86.9565,86.8421,92.7928,92.3729,81.0345,74.7899,85.9649,93.75,98.2759,93.2203,89.8305,86.0656,98.2759
0.3878,88.1356,90.7563,90.7407,78.2609,83.3333,86.0656,84.6154,82.4561,88.6957,88.2883,75.8621,94.958,91.8919,75.8929,85.9649,82.3009,100,86.9565,85.9649,92.7928,93.2203,81.0345,74.7899,85.9649,92.8571,98.2759,93.2203,89.8305,86.8852,98.2759
0.4082,88.1356,90.7563,90.7407,78.2609,83.3333,86.0656,84.6154,82.4561,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,85.9649,82.3009,100,86.9565,85.9649,92.7928,93.2203,81.0345,75.6303,85.9649,92.8571,98.2759,93.2203,89.8305,86.8852,98.2759
0.4286,88.1356,90.7563,90.7407,78.2609,83.3333,86.0656,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,85.9649,82.3009,100,86.9565,85.9649,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.449,88.1356,90.7563,90.7407,79.1304,83.3333,87.7049,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,85.9649,82.3009,100,86.9565,85.9649,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.4694,88.1356,90.7563,90.7407,79.1304,82.4561,87.7049,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,82.3009,100,86.9565,86.8421,92.7928,93.2203,80.1724,75.6303,87.7193,92.8571,98.2759,93.2203,89.8305,86.8852,98.2759
0.4898,88.1356,90.7563,90.7407,79.1304,83.3333,87.7049,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,82.3009,100,86.9565,86.8421,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5102,88.1356,90.7563,90.7407,79.1304,83.3333,87.7049,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,82.3009,100,86.9565,86.8421,92.7928,93.2203,80.1724,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5306,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,82.3009,100,86.9565,86.8421,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.551,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5714,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5918,88.1356,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6122,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6327,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,90.991,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,73.9496,86.8421,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6531,88.1356,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,90.991,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,73.9496,86.8421,91.9643,98.2759,93.2203,89.8305,87.7049,98.2759
0.6735,87.2881,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,90.991,75.8929,87.7193,82.3009,100,86.9565,86.8421,92.7928,94.0678,81.0345,73.9496,85.9649,91.9643,98.2759,93.2203,89.8305,86.8852,98.2759
0.6939,87.2881,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,76.7241,95.7983,91.8919,75.8929,87.7193,82.3009,100,86.9565,86.8421,92.7928,92.3729,81.0345,73.9496,85.9649,91.9643,98.2759,93.2203,89.8305,88.5246,98.2759
0.7143,86.4407,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,76.7241,95.7983,91.8919,75.8929,88.5965,82.3009,100,86.9565,86.8421,92.7928,90.678,81.0345,73.9496,85.9649,93.75,99.1379,94.0678,89.8305,86.8852,98.2759
0.7347,86.4407,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,83.3333,87.8261,88.2883,76.7241,95.7983,91.8919,77.6786,91.2281,82.3009,100,86.9565,86.8421,93.6937,92.3729,81.0345,73.1092,85.9649,94.6429,99.1379,93.2203,89.8305,86.0656,98.2759
0.7551,86.4407,90.7563,90.7407,79.1304,83.3333,85.2459,83.7607,83.3333,88.6957,87.3874,76.7241,95.7983,91.8919,77.6786,90.3509,82.3009,100,86.9565,86.8421,93.6937,92.3729,81.0345,73.1092,85.0877,94.6429,99.1379,93.2203,89.8305,86.0656,98.2759
0.7755,87.2881,90.7563,90.7407,79.1304,83.3333,85.2459,83.7607,83.3333,88.6957,87.3874,77.5862,95.7983,91.8919,77.6786,92.1053,83.1858,100,86.9565,86.8421,93.6937,93.2203,81.0345,73.1092,85.0877,94.6429,99.1379,92.3729,89.8305,86.0656,98.2759
0.7959,88.1356,90.7563,91.6667,80,83.3333,86.0656,84.6154,83.3333,88.6957,86.4865,77.5862,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.0345,73.1092,85.0877,94.6429,99.1379,92.3729,90.678,86.0656,98.2759
0.8163,88.1356,90.7563,90.7407,80,83.3333,86.0656,86.3248,83.3333,88.6957,86.4865,78.4483,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.8966,73.1092,85.9649,94.6429,99.1379,92.3729,90.678,86.0656,98.2759
0.8367,88.1356,90.7563,90.7407,80,83.3333,86.0656,86.3248,83.3333,88.6957,86.4865,79.3103,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.8966,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,86.0656,98.2759
0.8571,88.1356,89.0756,90.7407,80,81.5789,84.4262,86.3248,83.3333,88.6957,86.4865,79.3103,95.7983,91.8919,77.6786,92.9825,83.1858,100,86.9565,86.8421,94.5946,94.0678,81.0345,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,86.0656,98.2759
0.8776,88.1356,89.0756,90.7407,80,82.4561,84.4262,86.3248,83.3333,87.8261,86.4865,79.3103,96.6387,91.8919,77.6786,92.9825,83.1858,100,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,85.2459,99.1379
0.898,88.1356,89.916,90.7407,80,82.4561,84.4262,87.1795,85.0877,87.8261,87.3874,77.5862,96.6387,91.8919,77.6786,92.9825,83.1858,99.1525,86.9565,87.7193,94.5946,94.0678,81.0345,73.1092,85.0877,95.5357,99.1379,92.3729,90.678,85.2459,99.1379
0.9184,88.1356,89.0756,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,87.3874,77.5862,96.6387,91.8919,77.6786,92.9825,83.1858,99.1525,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,84.2105,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
0.9388,87.2881,89.0756,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,77.5862,95.7983,91.8919,77.6786,92.9825,82.3009,99.1525,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,84.2105,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
0.9592,87.2881,88.2353,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,79.3103,95.7983,91.8919,77.6786,94.7368,82.3009,98.3051,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,85.0877,95.5357,99.1379,92.3729,90.678,83.6066,99.1379
0.9796,86.4407,88.2353,87.963,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,80.1724,94.958,91.8919,78.5714,94.7368,80.531,98.3051,86.9565,87.7193,94.5946,94.9153,81.8966,72.2689,85.9649,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
1,86.4407,87.395,87.963,80,82.4561,83.6066,87.1795,85.0877,87.8261,86.4865,80.1724,94.958,92.7928,79.4643,94.7368,80.531,98.3051,86.9565,86.8421,94.5946,94.9153,81.8966,72.2689,89.4737,95.5357,99.1379,92.3729,90.678,86.8852,99.1379
